"global_id";"ID";"CinemaName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"geoData";"geodata_center";
"global_id";"Код";"Наименование кинотеатра";"Административный округ";"Район";"Адрес";"Количество точек доступа";"Имя Wi-Fi сети";"Зона покрытия, в метрах";"Признак функционирования";"Условия доступа";"Пароль";"Широта в WGS-84";"Долгота в WGS-84";"geoData";"geodata_center";
"879791944";"1";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Космос»";"Северо-Восточный административный округ";"Останкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 109";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.818675";"37.636778";"{coordinates=[37.636778, 55.818675], type=Point}";"";
"879791951";"3";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Тула»";"Юго-Восточный административный округ";"район Печатники";"город Москва, улица Кухмистерова, дом 4";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.685873";"37.718534";"{coordinates=[37.718534, 55.685873], type=Point}";"";
"879791953";"4";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Молодежный»";"Юго-Восточный административный округ";"район Текстильщики";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, Люблинская улица, дом 11";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.710864";"37.731299";"{coordinates=[37.731299, 55.710864], type=Point}";"";
"879791961";"7";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Искра»";"Северный административный округ";"Тимирязевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тимирязевский, улица Костякова, дом 10";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.814406";"37.571210";"{coordinates=[37.57121, 55.814406], type=Point}";"";
"879791967";"9";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Сатурн»";"Северо-Восточный административный округ";"район Свиблово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, Снежная улица, дом 18";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.851945";"37.647549";"{coordinates=[37.647549, 55.851945], type=Point}";"";
"879795206";"2";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Вымпел»";"Северо-Восточный административный округ";"Бабушкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Коминтерна, дом 8";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.861974";"37.676825";"{coordinates=[37.676825, 55.861974], type=Point}";"";
"879795207";"5";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Спутник»";"Юго-Восточный административный округ";"район Лефортово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Солдатская улица, дом 15";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.764303";"37.705508";"{coordinates=[37.705508, 55.764303], type=Point}";"";
"879795208";"6";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Салют»";"Юго-Западный административный округ";"Академический район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Кедрова, дом 14, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.682787";"37.571585";"{coordinates=[37.571585, 55.682787], type=Point}";"";
"879795209";"8";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Березка»";"Восточный административный округ";"район Новогиреево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Мартеновская улица, дом 25";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.749841";"37.802562";"{coordinates=[37.802562, 55.749841], type=Point}";"";
"879795211";"10";"Государственное бюджетное учреждение культуры города Москвы «Киноконцертный зал «Эльдар»";"Юго-Западный административный округ";"Обручевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, Ленинский проспект, дом 105";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.665309";"37.513395";"{coordinates=[37.513395, 55.665309], type=Point}";"";
"879795212";"11";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Факел»";"Юго-Восточный административный округ";"район Лефортово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, шоссе Энтузиастов, дом 15/16";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.751817";"37.716144";"{coordinates=[37.716144, 55.751817], type=Point}";"";
